conversation_id,from_id,from_name,from_email,message_id,message,type,inserted_at,has_phone,phone_info,is_hidden,is_removed,like_count,page_id,customer_id
conv_1,user_159,Emily Garcia,sWnjC@outlook.com,msg_2386,Need help,RATING,2023-02-01 09:14:00,False,[None],False,False,49,page_1,877
conv_2,user_564,Alice Williams,HnZja@outlook.com,msg_7958,Support request,RATING,2023-01-07 06:36:00,False,[None],False,False,77,page_67,156
conv_3,user_733,Emily Johnson,Fwnub@outlook.com,msg_4815,Support request,COMMENT,2023-03-25 16:41:00,False,['+5577127600'],False,True,39,page_66,85
conv_4,user_224,David Williams,LxXrb@outlook.com,msg_8987,Need help,COMMENT,2023-12-24 11:51:00,False,[None],True,False,16,page_57,937
conv_5,user_337,Emily Brown,OBnoc@yahoo.com,msg_935,Hello,COMMENT,2023-09-05 05:05:00,True,['+4805228112'],True,True,61,page_3,858
conv_6,user_321,David Johnson,mbdbn@outlook.com,msg_9719,Support request,RATING,2023-06-10 14:26:00,True,['+2507936851'],True,True,89,page_14,160
conv_7,user_559,Bob Davis,xBbwy@yahoo.com,msg_5036,Hello,COMMENT,2023-10-23 07:42:00,False,[None],False,False,25,page_23,694
conv_8,user_180,John Garcia,mXfRt@yahoo.com,msg_4993,Feedback,RATING,2023-09-22 10:40:00,False,['+3692147930'],False,False,32,page_67,958
conv_9,user_448,David Miller,ghQVt@yahoo.com,msg_677,Inquiry,INBOX,2023-05-03 02:08:00,False,['+4968634780'],False,True,19,page_36,879
conv_10,user_209,Jane Garcia,LNiGZ@outlook.com,msg_2992,Inquiry,COMMENT,2023-02-28 15:00:00,True,['+7887018769'],True,True,16,page_59,32
conv_11,user_812,John Smith,xGBDd@yahoo.com,msg_5984,Feedback,INBOX,2023-04-11 11:21:00,True,[None],False,False,42,page_59,238
conv_12,user_413,Jane Johnson,xcQiS@yahoo.com,msg_3348,Hello,INBOX,2023-12-10 14:33:00,False,['+9539354199'],True,True,34,page_57,703
conv_13,user_875,Emily Jones,VgXii@gmail.com,msg_5034,Need help,RATING,2023-03-17 01:05:00,False,['+9685409067'],True,True,84,page_16,709
conv_14,user_20,Alice Garcia,wnYnG@outlook.com,msg_7050,Support request,COMMENT,2023-09-08 22:19:00,True,['+8987490589'],True,False,10,page_99,675
conv_15,user_943,Bob Smith,xBkah@yahoo.com,msg_1010,Need help,INBOX,2023-01-26 11:44:00,True,[None],False,True,33,page_62,333
conv_16,user_977,David Garcia,lFiFU@gmail.com,msg_7265,Hello,COMMENT,2023-06-21 18:55:00,False,[None],True,False,45,page_66,852
conv_17,user_504,David Garcia,eErnR@outlook.com,msg_1241,Inquiry,RATING,2023-05-29 07:00:00,False,[None],False,False,10,page_88,891
conv_18,user_115,John Garcia,JhWSs@outlook.com,msg_4430,Inquiry,INBOX,2023-08-01 09:18:00,False,['+8301139170'],True,True,4,page_80,822
conv_19,user_822,David Davis,bvoPR@outlook.com,msg_6925,Need help,COMMENT,2023-10-16 22:21:00,True,[None],True,True,73,page_22,785
conv_20,user_255,Jane Miller,Bukow@outlook.com,msg_6555,Inquiry,COMMENT,2023-07-07 00:30:00,True,['+6067208494'],True,False,21,page_90,9
conv_21,user_472,Emily Smith,MhIXV@yahoo.com,msg_7908,Support request,INBOX,2023-10-22 21:30:00,False,['+6804496699'],True,True,59,page_57,702
conv_22,user_965,Charlie Johnson,Uhcht@outlook.com,msg_758,Inquiry,COMMENT,2023-04-30 23:06:00,False,[None],True,False,40,page_92,638
conv_23,user_215,Charlie Brown,PfMvQ@outlook.com,msg_2797,Feedback,INBOX,2023-10-31 06:13:00,True,[None],False,True,40,page_40,439
conv_24,user_168,Sophia Miller,DpotM@outlook.com,msg_1919,Feedback,RATING,2023-07-20 10:17:00,True,['+2570584188'],False,True,50,page_10,425
conv_25,user_832,Jane Smith,sHrQn@yahoo.com,msg_7941,Inquiry,INBOX,2023-02-10 20:34:00,False,['+9197134110'],True,True,27,page_99,750
conv_26,user_439,Charlie Miller,PEvyP@gmail.com,msg_5090,Hello,RATING,2023-03-10 17:34:00,True,['+3632927772'],False,False,86,page_11,73
conv_27,user_13,Charlie Johnson,llBxb@outlook.com,msg_2073,Inquiry,COMMENT,2023-12-13 11:47:00,True,[None],False,True,57,page_88,405
conv_28,user_661,David Williams,dXGzr@gmail.com,msg_5465,Support request,RATING,2023-09-28 00:29:00,True,[None],True,False,50,page_27,430
conv_29,user_210,Emily Brown,LxNww@outlook.com,msg_469,Inquiry,RATING,2023-01-31 17:09:00,True,['+9881567895'],True,True,32,page_45,540
conv_30,user_688,Charlie Smith,vCPCD@yahoo.com,msg_5023,Need help,RATING,2023-07-13 15:02:00,True,[None],False,False,1,page_95,675
conv_31,user_908,Emily Garcia,sxieB@outlook.com,msg_8916,Hello,RATING,2023-09-10 00:45:00,False,['+6439115956'],False,False,21,page_10,920
conv_32,user_102,Charlie Jones,xhvXh@yahoo.com,msg_1492,Need help,RATING,2023-08-08 03:42:00,False,['+2574408831'],True,True,49,page_28,753
conv_33,user_632,Sophia Brown,upWbs@yahoo.com,msg_3407,Inquiry,INBOX,2023-10-28 16:59:00,False,['+7406149363'],True,False,2,page_77,494
conv_34,user_505,John Johnson,hBLjG@yahoo.com,msg_3154,Hello,INBOX,2023-12-04 15:11:00,True,[None],False,True,64,page_1,33
conv_35,user_952,John Brown,cPRQa@outlook.com,msg_9972,Need help,COMMENT,2023-05-15 23:10:00,True,['+1301534907'],True,True,69,page_82,576
conv_36,user_988,Bob Davis,BzskV@yahoo.com,msg_4288,Inquiry,RATING,2023-07-29 02:27:00,True,[None],False,False,51,page_71,224
conv_37,user_902,Emily Brown,rOMpE@outlook.com,msg_6495,Feedback,INBOX,2023-02-24 11:20:00,True,['+3087903613'],True,True,75,page_93,193
conv_38,user_68,David Garcia,rBkcM@gmail.com,msg_3415,Need help,INBOX,2023-09-13 04:34:00,True,[None],True,True,81,page_95,556
conv_39,user_480,Alice Williams,pTngD@gmail.com,msg_5895,Hello,COMMENT,2023-12-06 03:06:00,True,[None],False,True,19,page_21,602
conv_40,user_720,John Miller,EOQuz@gmail.com,msg_3509,Support request,INBOX,2023-08-13 19:10:00,False,['+6146188446'],False,False,1,page_45,783
conv_41,user_156,Emily Jones,kkmBg@outlook.com,msg_49,Need help,COMMENT,2023-05-30 16:02:00,False,['+4193162316'],False,True,30,page_6,720
conv_42,user_79,Bob Jones,AMZYI@yahoo.com,msg_5898,Support request,COMMENT,2023-08-26 16:33:00,False,['+5089268709'],True,False,20,page_2,304
conv_43,user_192,Jane Johnson,YXBfw@gmail.com,msg_524,Need help,COMMENT,2023-08-24 18:46:00,True,['+2090660441'],False,False,14,page_88,477
conv_44,user_866,Jane Johnson,BwyMJ@gmail.com,msg_5805,Hello,COMMENT,2023-04-10 17:02:00,True,[None],True,True,72,page_60,512
conv_45,user_527,David Williams,cDuFp@outlook.com,msg_6925,Feedback,INBOX,2023-11-30 16:10:00,False,[None],False,False,48,page_11,949
conv_46,user_250,Sophia Miller,afgKV@outlook.com,msg_9339,Hello,COMMENT,2023-05-22 12:18:00,False,['+5330858333'],True,False,98,page_15,938
conv_47,user_801,Jane Williams,jtGni@yahoo.com,msg_6749,Need help,COMMENT,2023-02-13 06:44:00,True,['+8024901454'],False,False,90,page_8,599
conv_48,user_122,Charlie Williams,lVPUA@yahoo.com,msg_4380,Feedback,COMMENT,2023-02-24 16:58:00,True,[None],True,False,44,page_8,239
conv_49,user_595,Sophia Williams,vxtWo@gmail.com,msg_2307,Hello,INBOX,2023-06-16 03:50:00,False,['+3902985643'],True,False,40,page_34,94
conv_50,user_11,David Miller,YaKcI@yahoo.com,msg_5562,Hello,INBOX,2023-04-17 05:06:00,False,['+5861708681'],True,False,73,page_28,234
conv_51,user_437,David Williams,gKzaZ@yahoo.com,msg_1652,Need help,RATING,2023-08-27 13:28:00,False,[None],False,True,42,page_84,72
conv_52,user_882,Emily Smith,Gyguc@yahoo.com,msg_4463,Need help,RATING,2023-04-11 09:08:00,True,['+7852475777'],False,True,31,page_65,599
conv_53,user_240,David Miller,IEPVi@gmail.com,msg_1620,Need help,COMMENT,2023-01-13 14:49:00,True,[None],False,False,83,page_4,815
conv_54,user_482,Sophia Williams,Msacw@yahoo.com,msg_1630,Need help,COMMENT,2023-09-27 10:17:00,True,[None],False,True,62,page_94,465
conv_55,user_624,Jane Davis,RDnEj@yahoo.com,msg_8053,Need help,INBOX,2023-09-20 03:08:00,True,[None],True,False,23,page_19,505
conv_56,user_602,Jane Williams,zOiGE@yahoo.com,msg_5919,Support request,COMMENT,2023-03-22 14:12:00,True,['+4910436975'],True,False,30,page_15,675
conv_57,user_433,Emily Jones,BvEZu@yahoo.com,msg_1336,Hello,RATING,2023-12-23 17:52:00,True,[None],True,True,30,page_30,887
conv_58,user_730,Charlie Smith,YBPpK@yahoo.com,msg_3182,Need help,COMMENT,2023-11-05 08:03:00,False,['+9577195841'],True,True,91,page_2,697
conv_59,user_406,Jane Miller,QMsxl@outlook.com,msg_2564,Feedback,INBOX,2023-10-08 01:42:00,False,['+5973284191'],True,False,18,page_83,113
conv_60,user_78,Emily Garcia,Oshds@outlook.com,msg_5864,Need help,RATING,2023-08-09 05:39:00,True,[None],True,False,88,page_31,270
conv_61,user_478,Emily Williams,jRLTX@gmail.com,msg_5689,Support request,COMMENT,2023-10-16 12:44:00,True,[None],False,False,90,page_100,823
conv_62,user_906,Charlie Miller,obcNn@gmail.com,msg_5188,Support request,RATING,2023-11-16 10:15:00,False,['+1314761783'],True,True,60,page_68,221
conv_63,user_905,Charlie Jones,bcSzC@yahoo.com,msg_1612,Hello,INBOX,2023-09-26 05:00:00,False,['+5012711508'],True,False,29,page_83,872
conv_64,user_831,Sophia Williams,oFDuD@outlook.com,msg_8943,Need help,RATING,2023-09-05 20:42:00,True,[None],True,True,42,page_33,493
